Edad,Género,País de Residencia,Ciudad de Residencia (EEUU),Trabajo Autónomo,Antecedente Heredofamiliar,Búsqueda de Tratamiento con un Profesional,Cantidad de Empleados en la Empresa,Beneficios Dentro de Seguro Médico,Problemas de Salud Mental en Entrevista Laboral,Conocimiento de las Opciones de Cobertura por la Empresa Actual,Recursos de la Empresa Para Conocer sobre la Salud Mental y Canales de Ayuda,Facilidad de Consulta de Baja Médica en el Trabajo,Comodidad para Hablar de una Enfermedad Mental con Compañeros de Trabajo,Comodidad para Hablar de una Enfermedad Mental con un Director/Supervisor,Cobertura de Salud Mental en Seguro Médico,Beneficios de Salud Mental de Empleos Anteriores,Conocimiento de las Opciones de Ayuda por el Empleo Anterior,Protección de Anonimato Si Se Toma Ventaja de los Recursos de Tratamiento en Empleos Anteriores,Disposición de Hablar de Salud Mental con un Supervisor,Disposición para Hablar Sobre Enfermedad Mental con Familia/Amigos,Seguridad de Revelar Enfermedad Mental Debido a Comentario Sobre Salud Mental de Otra Persona,Situación Mental Actual,¿Alguna Vez Has Sido Diagnosticado con una Enfermedad Mental?,Nivel de Interferencia en el Trabajo Cuando Se Está Bajo Tratamiento,Nivel de Interferencia en el Trabajo Cuando No Se Está Bajo Tratamiento,Disposición a Revelar Enfermedad Mental a Empleados/Compañeros,Productividad Afectada Por Enfermedad Mental,Porcentaje de Tiempo Afectada Por Enfermedad Mental,¿Has Observado o Experimentado una Respuesta Insolidaria o Mal Gestionada a un Problema de Salud Mental en tu Lugar de Trabajo Actual o Anterior?,Importancia a la Salud Mental (Empresa),¿Cómo Afectó la Relación con Alguien de tu Trabajo el Haberle Contado sobre tu Enfermedad Mental?,¿Te Identificas Abiertamente en el Trabajo como una Persona con una Enfermedad Mental?,¿Tu Carrera Se Ha Visto Afectada por Tener una Enfermedad Mental?,"Si Supieran Que Padeces un Trastorno Mental, ¿Cómo Crees Que Reaccionarían los Miembros de tu Equipo/Compañeros de Trabajo?",¿Has Observado o Experimentado una Respuesta Positiva De Compañeros/Jefes al Saber que Tienes una Enfermedad Mental?,¿En qué Medida Cree que el Sector Tecnológico Apoya a los Empleados con Enfermedades Mentales?,Raza
36,Otro,Estados Unidos,Missouri,No,Si,Si,6-25,No lo sé,No,No,No,Difícil,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,Si,Si,Si,A veces,A veces,No respondió,No respondió,No respondió,"Si, me ha pasado",Muy poco importante,No respondió,Si,Si,Normal,"Si, me ha pasado",Nada,Blanco(a)
22,Masculino,Estados Unidos,Washington,No,No sé,Si,Más de 1000,Si,No,Si,No lo sé,Difícil,Si,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Poco,Blanco(a)
52,Otro,Estados Unidos,Illinois,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,No,"No, ninguno lo hizo",No me ofrecieron ninguna,"Si, siempre","No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,No,No respondió,A menudo,A veces,"No, no me importa",Si,1-25%,No,No respondió,No cambió,No,No respondió,No creo que le(s) importe,"Si, lo he visto",Nada,Multiracial
30,Otro,Estados Unidos,California,No,Si,No,100-500,Si,No,No,No lo sé,Fácil,Tal vez,Tal vez,No respondió,"No, ninguno lo hizo",Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Neutral,Tal vez,No,No respondió,Raramente,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,"Si, lo he visto",Poco,Blanco(a)
36,Femenino,Estados Unidos,Washington,No,Si,Si,6-25,Si,No,Si,No,Muy fácil,No,Si,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Sumamente importante,No respondió,Si,No,Normal,"Si, lo he visto",Poco,Asiático(a)
38,Femenino,Estados Unidos,Georgia,No,Si,Si,26-100,Si,No,No,No,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,No estoy dispuesto(a),No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Poco,Blanco(a)
40,Masculino,Estados Unidos,Pensilvania,No,Si,Si,100-500,Si,No,Si,No,No sé,No,No,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No,Si,Si,A menudo,A veces,No respondió,No respondió,No respondió,"Si, me ha pasado",Nada importante,No respondió,No,No respondió,Sin comentarios,No,Nada,Blanco(a)
35,Masculino,Estados Unidos,Tennessee,No,Si,No,100-500,No lo sé,No,No,No lo sé,Difícil,No,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,A veces,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Moderadamente importante,No respondió,No,No respondió,Muy mal,No,Nada,Blanco(a)
22,Femenino,Estados Unidos,Louisiana,No,No sé,Si,Más de 1000,No lo sé,No,No,No lo sé,Más o menos,Tal vez,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),Tal vez,Si,No,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Poco importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
34,Otro,Estados Unidos,California,No,Si,Si,26-100,No lo sé,No,No respondió,No lo sé,Muy fácil,Si,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,A veces,A veces,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,No,Más o menos,Negro(a) o Afroamericano(a)
