Edad,Género,País de Residencia,Ciudad de Residencia (EEUU),Trabajo Autónomo,Historial Familiar,Búsqueda de Tratamiento con un Profesional,Cantidad de Empleados en la Empresa,Beneficios Dentro de Seguro Médico,Problemas de Salud Mental en Entrevista Laboral,Conocimiento de las Opciones de Cobertura por la Empresa Actual,Recursos de la Empresa Para Conocer sobre la Salud Mental y Canales de Ayuda,Facilidad de Consulta de Baja Médica en el Trabajo,Comodidad para Hablar de una Enfermedad Mental con Compañeros de Trabajo,Comodidad para Hablar de una Enfermedad Mental con un Director/Supervisor,Cobertura de Salud Mental en Seguro Médico,Beneficios de Salud Mental de Empleos Anteriores,Conocimiento de las Opciones de Ayuda por el Empleo Anterior,Protección de Anonimato Si Se Toma Ventaja de los Recursos de Tratamiento en Empleos Anteriores,Disposición de Hablar de Salud Mental con un Supervisor,Disposición para Hablar Sobre Enfermedad Mental con Familia/Amigos,Seguridad de Revelar Enfermedad Mental Debido a Comentario Sobre Salud Mental de Otra Persona,Situación Mental Actual,¿Alguna Vez Has Sido Diagnosticado con una Enfermedad Mental?,Nivel de Interferencia en el Trabajo Cuando Se Está Bajo Tratamiento,Nivel de Interferencia en el Trabajo Cuando No Se Está Bajo Tratamiento,Disposición a Revelar Enfermedad Mental a Empleados/Compañeros,Productividad Afectada Por Enfermedad Mental,Porcentaje de Tiempo Afectada Por Enfermedad Mental,¿Has Observado o Experimentado una Respuesta Insolidaria o Mal Gestionada a un Problema de Salud Mental en tu Lugar de Trabajo Actual o Anterior?,Importancia a la Salud Mental (Empresa),¿Cómo Afectó la Relación con Alguien de tu Trabajo el Haberle Contado sobre tu Enfermedad Mental?,¿Te Identificas Abiertamente en el Trabajo como una Persona con una Enfermedad Mental?,¿Tu Carrera Se Ha Visto Afectada por Tener una Enfermedad Mental?,"Si Supieran Que Padeces un Trastorno Mental, ¿Cómo Crees Que Reaccionarían los Miembros de tu Equipo/Compañeros de Trabajo?",¿Has Observado o Experimentado una Respuesta Positiva De Compañeros/Jefes al Saber que Tienes una Enfermedad Mental?,¿En qué Medida Cree que el Sector Tecnológico Apoya a los Empleados con Enfermedades Mentales?,Raza
29,Otro,Estados Unidos,Massachusetts,No,Si,Si,Más de 1000,Si,No,Si,No lo sé,Difícil,No,No,No respondió,No respondió,No respondió,No respondió,No respondió,No estoy dispuesto(a),No respondió,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Moderadamente importante,No respondió,No,No respondió,Indiferente,No,Más o menos,Blanco(a)
46,Masculino,Estados Unidos,Florida,No,Si,No,6-25,Si,No,Si,No,Fácil,No,No,No respondió,"Si, todos lo hicieron","Si, las conocía",No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Muy poco importante,No respondió,No,No respondió,Me apoya(n),Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
29,Otro,Estados Unidos,Tennessee,No,Si,Si,26-100,Si,Si,Si,Si,Fácil,Si,Si,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,Si,No,Normal,"Si, lo he visto",Lo suficiente,Blanco(a)
55,Otro,Estados Unidos,Carolina del Sur,No,No,No,100-500,Si,Si,Si,No lo sé,Fácil,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,Normal,No,Más o menos,Blanco(a)
37,Masculino,Estados Unidos,Iowa,No,No,No,Más de 1000,Si,No,No,Si,Difícil,No,No,No respondió,Algunos lo hicieron,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,Si,No lo sé,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Muy poco importante,No respondió,No,No respondió,Mal,No,Nada,Blanco(a)
45,Masculino,Estados Unidos,Washington,No,Si,Si,Más de 1000,Si,No,Si,Si,Fácil,Tal vez,Tal vez,No respondió,"Si, todos lo hicieron","Si, las conocía",No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No respondió,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,No,Moderadamente importante,No respondió,No,No respondió,Muy bien,No,Poco,Blanco(a)
47,Masculino,Estados Unidos,Florida,No,Si,No,26-100,Si,No,No,Si,Más o menos,No,No,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,Si,Si,Raramente,Raramente,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Moderadamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Lo suficiente,Blanco(a)
37,Masculino,Estados Unidos,Florida,No,No sé,Si,Más de 1000,Si,No,Si,No lo sé,No sé,Tal vez,Tal vez,No respondió,"No, ninguno lo hizo","No, las conocí después",No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,Nunca,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Sumamente importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Más o menos,Prefiero no responder
37,Masculino,Estados Unidos,Tennessee,No,Si,Si,26-100,Si,Tal vez,No,No lo sé,Fácil,Si,No,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,Si,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,No,Nada importante,No respondió,No,No respondió,Bien,"Si, me ha pasado",Más o menos,Blanco(a)
36,Otro,Estados Unidos,Nuevo Hampshire,No,Si,Si,100-500,Si,No,Si,Si,Fácil,Tal vez,Si,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Lo suficiente,Blanco(a)
